,reviewId,content,score,sentiment
0,5884d2aa-eda3-47dd-a49a-7a40692f68cb,"Hands down my favorite app. Using it is as easy as going to to the supermarket. You can't go wrong with its accessibility, easy navigation, and fast loading. Not a flaw in sight!",5,positive
1,4a6e38f4-31d7-4680-a8b8-877e34d56d4c,"It is as easy to use as the website and have no major issues. Just a few issues with the navigation style that I don't like, but that is more of a personal thing.",4,positive
2,b2260fc3-11f6-4216-ada8-40b6de9bd8b8,"On ebay I've found items that I love, for home decor, plants and gifts. Great for comparison shopping seeking best quality and best price points. This cite is user friendly as to navigation. Thank you ebay, Stephen Robert Leigh",5,positive
3,47edb686-db9f-4591-a22a-f2f6224594eb,"Intuitive interface. Suggestive navigation. Best Offer Negotiation! Theres alot to like about the app, and I've seen subtle improvements over the years. So there's only one way to go eBay - keep improving, and it only gets better from here. Then you'll have to add a sixth star into the 5 star rating scheme.",5,negative
4,91209fa0-52d8-4770-9741-f25ae067a230,"Clean, stable, accessible. Great e-commerce platform.",5,positive
5,f9f1ed5f-73cb-44c0-ae4c-5a20ff3cf1ee,"Feedback stats don't make sense. If you filter pos/neg/neutral and add up it doesnt equal total reviews. And many feedback comments don't link to the purchased item, even if in the last month. Overall, I'm finding UI and navigation in latest versions messy and overly complicated. Eg no description on main product page and extra clicks for galleries.",2,negative
6,69083ab9-e9cc-47e4-ab74-f2d6f929dfd2,Shopping made easy....navigation is great,5,positive
7,e789a110-c21b-4e46-a105-3f3235cff075,Good navigation and gives most of the information I need. Thanks.,5,positive
8,86d05125-01f6-4fae-b601-5066f44ca04c,Easy navigation. Always works. Go ebay!,5,positive
9,5e0e34c2-d158-4a8f-96f0-54c7461e0eca,"This is my go to app. If not accessible near me.Then I buy from here. Easy, safe. Delivered to location of choice so great for sending gifts.",5,negative
10,3c8023f7-a4d3-40e2-a974-b380a0ef55c8,Ehh... Feels like I'm using windows phone beta version. Clean up the transitions when uploading for sale and navigation for buying.,3,positive
11,10580543-5d1b-4859-b7c2-793b440e1143,"easy-to-use; navigation thru pages, payment",5,negative
12,91e2be80-a670-435e-bcc2-bc4236755dbf,Easy Navigation,5,positive
13,56ec693c-6291-492d-a11d-9f92dfcf447e,"Love the app makes my life so much easier with having MS my mobility is limited but with the app I can still browse and shop, buy things get delivered free and I haven't left my house thanx EBay.",5,positive
14,24a57d23-5fa8-4239-a248-e54b03221af2,Like the accessibility of the app,5,positive
15,662bd14e-5a90-471a-a869-7571c0aae46d,"Very easy app to use, easy to upload photos, with great navigation features, never fails very reliable.",5,positive
16,32e1e284-a788-4e21-9edf-870f8d78eee4,"Love good deals, using the mobile app makes for easy access & navigation. Purchases & Payments are easy.",5,positive
17,c29fbd76-e5fd-4f63-aebe-617110709523,Smooth navigation. This app has always been easy for me to buy and sell items on ebay. Very clear and reliable.,5,positive
18,90e90f88-7058-4169-b730-c4744545a3e6,"Recently started selling some items on eBay. It's a lot easier than I thought it would be. I wish I would've done it a long time ago. I just wish that the seller hub was accessible through the app menu. It's annoying to have to go to the help section, type in seller hub, and click on it to get into it. Seller Hub should be on the app main menu list!",5,negative
19,2da71689-18fa-423f-bc37-cf8b26dc9de2,"Safe and secure transactions by partner pay pal,very good communication with sellers,an ideal solution for people with transport or disability problems.",5,positive
20,c74239b5-841b-406d-89d3-2eb26018e902,"I use this app to shop as it usually has what I am looking for and is very easy to use. With Covid19 upon us, I used this app to order many more items when we were shielding. Would have been stuck without it. Recently found some bargains with fishing accessories and binoculars which I am more than happy with. I also was able to quickly get mobility aids for my mum after a fall at home..... easy and helpful. Another year on and I am still loving the eBay app. Thanks eBay team.👍",5,positive
21,2ed9519e-c11c-40d4-83fe-2244116b41ae,So far so good! Just started using the app for selling yesterday and it's been so much easier than the website in regards to navigation and listing new items.,5,positive
22,86f110fe-1d59-4be0-aa32-127dddd0439a,Easy navigation.,5,positive
23,d41616ea-c24c-46d2-898c-cb3a265a8c68,"App is quick & responsive, comfortable navigation experience.",5,positive
24,0fa433b6-f4ce-414c-970e-48b3b1e26316,"fantastic navigation speed, except this 1 prob and it is, not knowing the exact time to expect my good. Amazon got that right, so when your package is on the way theyll show you how many stops it is to get to you so youre able to track down and know the exact delivery time. fortunately, i only buy things from Ebey cos i can find every thing i want on Ebey and good pricing too. but we""ll love it if you can add the above named feature to your navigation board.",5,positive
25,671bb3b4-b1ef-4fa1-9687-b97de77d8048,Easy to use perfectly designed mobile responsive and perfect navigation system and very easy to create listing direct from mobile phone.,5,positive
26,7dcbd9b7-9948-423d-8ad6-edaa7b4c58d6,Nice user-interface. Fine support. Easy navigation. Many options for buyers and sellers. Good messages centre. I am satisfied so far,4,positive
27,7a9d6184-f841-43ea-ad0f-1c1f450d7c81,Works great for me. Easy navigation,5,positive
28,9f070e85-cfce-4cc9-b3e0-ed1f45b6605c,Easy accessible.,5,positive
29,d680099f-9a95-49c8-a5df-944f6995992e,The Ebay app UI is very easy to use. Navigation is a snap. Plenty of helpful resources if you need them. Great site and app.,5,positive
30,5cc92dbd-514c-4607-a8b4-717b8f62fee3,"Enjoy using the app. Being Deaf I find eBay the better on line shop, have tried others, but find the support better at eBay.",5,positive
31,e653e9f6-a77c-4c68-b912-de870a82cae1,"Appropriate suggestions, clunky menu navigation",3,positive
32,23a7a4da-4f6d-4bcc-be2f-48612131ca33,Lothe the new super black 'Dark display'. Why can we not have the same dark colour as all other apps. New layout produces too much contrast between black and white text.,3,negative
33,1d9f823a-d910-4ac2-8766-e29f5b385da9,"Getting less accessible with every release, inconsistent fonts in every screen and low contrast too. Constant popup on selling screen for page views is just nonsense. How on earth do you stop it!! Terrible workflow; getting to item page after selling is a so protracted (does anyone test this?).",1,negative
34,30efda8c-27e9-4fc7-879c-5ecb810190bf,I'm giving the app 3 stars because of the navigation options. Any time I want to go back to the main search results I basically have to do it over. I know it's simple but a back button would be great.,3,negative
35,80c854ed-10f5-4318-8f5a-f5b54fec9cea,"Really easy to buy and sell, navigation in the app is really simple, discounts and a wide range of options whilst using app.",5,positive
36,3aa58652-8bb1-4475-a53e-e0bc2f0393f0,"Disaster UI navigation, unintuitive ways to find things like previous purchases. And constant freezing and errors.",1,negative
37,e382dfa0-f3f0-4d4c-9067-af4a7f7089ab,"Ebay is disgusting. They tax the buyer and the seller. They won't let you conduct any outside contact with a seller because they'll loose out on charging both parties a collective 40% of the item. It's despicable. I don't know why anyone sells here anymore, they rob you blind.",1,negative
38,cb802820-e0c6-4769-9f11-265057cdbb33,"EBay & there vendors are excellent in providing good & services that are extremely reliable...on the rare occasion which there was a problem, it was always resolved very quickly & justly. I have high confidence in the reliability in the products, services & integrity in purchasing via EBay. In contrast I attempted to purchase some products appearing on Facebook & was the victim of scammers. Reporting the scam/scammers to Facebook resulted in the removal of the offending ad, but nothing else.",5,negative
39,7c967c13-aa2c-4fb2-9b8c-132c572e1953,It is always accessible and provides the solution.,4,positive
40,8c9df0c5-863e-4094-98b1-9886560da50b,Very accessible,5,positive
41,5bbf0e7d-bc7d-4e3e-af88-f0aa33f34648,"Easy to use, has all of the pertinent features that the desktop version has. Navigation is simple, categories are logical and the notification system is top notch. Buying is awesome. Selling has become more complicated, but that's Ebay in general.",5,positive
42,08700e91-84ad-4294-b310-6e9c1a9e5e70,"Easy navigation, quick bidding, and easy listings",5,positive
43,1905df02-a466-404e-a09f-2280b78d526c,"eBay is easy and very accessibility to different items that I need to purchase Pistol parts and magazines, Auto parts , to fix lawn mowers , weedeater and chainsaw and clothes .",5,positive
